1,1.28,1.28,NaN,NaN,173.1055761547205
1,1.28,1.32,NaN,NaN,173.32644378023093
1,1.28,1.36,NaN,NaN,173.3989435245601
1,1.28,1.4,4~6,M,172.6082252280657
1,1.28,1.44,4~6,M,171.80754645056373
1,1.28,1.48,4~6,M,171.40851038045093
1,1.28,1.52,4~6,M,170.16932090495558
1,1.28,1.56,4~6,M,170.43156489548699
1,1.28,1.6,4~6,M,170.877787254429
1,1.28,1.64,4~6,M,170.8989694551304
1,1.28,1.68,4~6,M,170.52035253855152
1,1.28,1.72,4~6,M,170.116272595577
2,1.72,1.72,NaN,NaN,163.29537102037938
1,1.28,1.76,4~6,M,170.30459108462543
2,1.72,1.76,NaN,NaN,166.56758273239166
1,1.28,1.8,25~32,M,169.73815197063283
2,1.72,1.8,25~32,M,165.0434947370093
1,1.28,1.84,25~32,M,169.68570166798835
2,1.72,1.84,25~32,M,165.0056940211962
1,1.28,1.88,25~32,M,169.2794702380584
2,1.72,1.88,25~32,M,166.41176730948612
1,1.28,1.92,25~32,M,169.2735434148287
2,1.72,1.92,25~32,M,167.08212349097573
1,1.28,1.96,25~32,M,169.11551109879576
2,1.72,1.96,25~32,M,166.68073230937702
1,1.28,2.0,25~32,M,168.96775394935892
2,1.72,2.0,25~32,M,166.3982667261863
1,1.28,2.04,25~32,M,168.85854678467098
2,1.72,2.04,25~32,M,167.34525544368447
1,1.28,2.08,25~32,M,168.7974182354334
2,1.72,2.08,25~32,M,167.63010729483676
1,1.28,2.12,25~32,M,169.07090021812778
2,1.72,2.12,25~32,M,167.10792908713626
1,1.28,2.16,25~32,M,169.09905970095477
2,1.72,2.16,25~32,M,166.9231670320901
1,1.28,2.2,25~32,M,168.83856346591892
2,1.72,2.2,25~32,M,166.87522169863178
1,1.28,2.24,25~32,M,168.7515952669695
2,1.72,2.24,25~32,M,167.4233270554067
1,1.28,2.28,25~32,M,168.52033558356823
2,1.72,2.28,25~32,M,167.0007408037895
1,1.28,2.32,25~32,M,168.7211725955131
2,1.72,2.32,25~32,M,167.06082067685628
1,1.28,2.36,25~32,M,168.51595361921414
2,1.72,2.36,25~32,M,166.66659768874203
1,1.28,2.4,25~32,M,168.6828497808598
2,1.72,2.4,25~32,M,166.73687560933956
1,1.28,2.44,25~32,M,168.43702211420305
2,1.72,2.44,25~32,M,167.0640445484518
1,1.28,2.48,25~32,M,168.54369270019464
2,1.72,2.48,25~32,M,167.33148514162758
1,1.28,2.52,25~32,M,168.58053142584197
2,1.72,2.52,25~32,M,167.28353149025813
1,1.28,2.56,25~32,M,168.54957529306395
